epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,688.218,1.43614,1.53671,1.74942,0.49684,0.62776,0.59106,0.38593,1.43433,1.9712,1.54906,0.00058539,0.00058539,0.00058539
43,704.093,1.42832,1.51401,1.73077,0.72202,0.7538,0.78815,0.51029,1.20769,1.21038,1.4017,0.000580912,0.000580912,0.000580912
44,720.464,1.42819,1.51529,1.73331,0.59975,0.67615,0.68659,0.44195,1.30586,1.71982,1.50159,0.000576433,0.000576433,0.000576433
45,736.395,1.41001,1.50098,1.71124,0.59509,0.71703,0.71259,0.45431,1.32911,1.61484,1.49668,0.000571955,0.000571955,0.000571955
46,752.522,1.41544,1.47243,1.71027,0.67852,0.75382,0.73298,0.48249,1.21091,1.34334,1.41323,0.000567477,0.000567477,0.000567477
47,768.635,1.43924,1.50623,1.73642,0.63915,0.67989,0.6875,0.45744,1.23843,1.66108,1.43149,0.000562998,0.000562998,0.000562998
48,784.787,1.38679,1.43446,1.6939,0.61737,0.69508,0.71691,0.46369,1.31294,1.8254,1.53818,0.00055852,0.00055852,0.00055852
49,801.146,1.40483,1.45836,1.69985,0.59824,0.70698,0.66763,0.45404,1.17587,1.40069,1.39277,0.000554042,0.000554042,0.000554042
50,817.231,1.37179,1.42372,1.68818,0.58254,0.68855,0.70091,0.45712,1.24231,1.58042,1.44121,0.000549564,0.000549564,0.000549564
51,833.244,1.38937,1.4295,1.6844,0.63349,0.73046,0.68508,0.44012,1.28552,1.64166,1.44746,0.000545085,0.000545085,0.000545085
52,849.488,1.34845,1.42017,1.65905,0.61896,0.74932,0.71991,0.49651,1.1827,1.57104,1.42608,0.000540607,0.000540607,0.000540607
53,865.671,1.34011,1.37434,1.63614,0.60927,0.74817,0.74551,0.48106,1.26395,1.41859,1.42783,0.000536129,0.000536129,0.000536129
54,881.696,1.33388,1.35739,1.6411,0.58916,0.70273,0.6736,0.45959,1.16467,1.39314,1.366,0.00053165,0.00053165,0.00053165
55,897.506,1.30822,1.31795,1.61266,0.69562,0.71555,0.74971,0.50093,1.21875,1.58317,1.43315,0.000527172,0.000527172,0.000527172
56,913.25,1.31782,1.31212,1.6198,0.65572,0.76976,0.7656,0.50567,1.25159,1.46499,1.41385,0.000522694,0.000522694,0.000522694
57,928.626,1.32417,1.34708,1.62125,0.59731,0.68147,0.67866,0.4591,1.2333,1.71515,1.43691,0.000518216,0.000518216,0.000518216
58,944.022,1.30036,1.28518,1.58766,0.66151,0.70041,0.73117,0.50087,1.20002,1.62995,1.40228,0.000513737,0.000513737,0.000513737
59,959.54,1.29145,1.31162,1.60321,0.67291,0.79046,0.77012,0.5221,1.18987,1.32534,1.36893,0.000509259,0.000509259,0.000509259
60,975.263,1.32925,1.34155,1.62998,0.66159,0.75476,0.78585,0.50859,1.27554,1.35363,1.41419,0.000504781,0.000504781,0.000504781
61,990.976,1.28339,1.28993,1.5842,0.63601,0.69615,0.72576,0.48105,1.34928,1.97824,1.49819,0.000500302,0.000500302,0.000500302
62,1006.67,1.30083,1.29221,1.59486,0.67085,0.7639,0.75612,0.52825,1.1043,1.39302,1.35649,0.000495824,0.000495824,0.000495824
63,1022.46,1.27245,1.27615,1.58041,0.69943,0.73716,0.8092,0.57171,1.13931,1.31803,1.33058,0.000491346,0.000491346,0.000491346
64,1038.14,1.25302,1.25486,1.55718,0.69411,0.78169,0.79515,0.54551,1.10846,1.26998,1.32839,0.000486867,0.000486867,0.000486867
65,1053.78,1.26116,1.23726,1.56842,0.64037,0.77002,0.7809,0.54618,1.12919,1.42712,1.34615,0.000482389,0.000482389,0.000482389
66,1069.37,1.2346,1.22461,1.54577,0.58416,0.62451,0.63659,0.43434,1.26083,2.26093,1.50558,0.000477911,0.000477911,0.000477911
67,1085.05,1.23317,1.23343,1.55388,0.63839,0.72571,0.75738,0.51349,1.24421,1.70635,1.41339,0.000473433,0.000473433,0.000473433
68,1100.95,1.2435,1.21323,1.54976,0.59478,0.67436,0.70739,0.48584,1.1616,1.74702,1.35566,0.000468954,0.000468954,0.000468954
69,1116.45,1.22329,1.21988,1.53393,0.68733,0.7454,0.74355,0.51006,1.11058,1.42752,1.29864,0.000464476,0.000464476,0.000464476
70,1131.97,1.23319,1.21522,1.53247,0.68337,0.69617,0.77486,0.54161,1.16511,1.35444,1.34272,0.000459998,0.000459998,0.000459998
71,1147.57,1.23477,1.22236,1.54449,0.60378,0.72176,0.72624,0.50345,1.15006,1.54477,1.32496,0.000455519,0.000455519,0.000455519
72,1163.04,1.22116,1.18772,1.52622,0.66439,0.73444,0.75955,0.52579,1.16194,1.55639,1.35317,0.000451041,0.000451041,0.000451041
73,1178.62,1.2217,1.17153,1.52436,0.68651,0.75367,0.82409,0.57025,1.13671,1.22965,1.2972,0.000446563,0.000446563,0.000446563
74,1194.18,1.21545,1.19436,1.52959,0.60386,0.71833,0.75706,0.53509,1.11237,1.61198,1.35548,0.000442085,0.000442085,0.000442085
75,1209.66,1.20095,1.15791,1.51034,0.6831,0.68981,0.76342,0.50865,1.20491,1.62171,1.3685,0.000437606,0.000437606,0.000437606
76,1225.39,1.20624,1.15757,1.51864,0.65716,0.79785,0.80065,0.54574,1.12746,1.20513,1.29766,0.000433128,0.000433128,0.000433128
77,1240.82,1.19981,1.15584,1.50561,0.65701,0.79459,0.78668,0.546,1.15293,1.38211,1.31747,0.00042865,0.00042865,0.00042865
78,1256.58,1.19146,1.1564,1.50266,0.64251,0.78009,0.76946,0.5347,1.14109,1.42615,1.31693,0.000424171,0.000424171,0.000424171
79,1272.16,1.17082,1.11293,1.48028,0.63555,0.77628,0.75941,0.54114,1.07521,1.27553,1.276,0.000419693,0.000419693,0.000419693
80,1287.67,1.16787,1.10766,1.47693,0.6515,0.68492,0.69526,0.47912,1.19585,1.60755,1.37134,0.000415215,0.000415215,0.000415215
